buseness_id,category,yelp_rating,number_of_reviews
MUmOoa2Zg2B2qBq1VHTNaA,Korean,4.0,198
wWt320NYdKjlPqoHfIDosQ,Bars,4.0,40
9wHPyzkvSut9-8pzCGvk5Q,Korean,4.5,72
OcfPXbhI0N9AmMCpWKSH7w,Italian,4.0,107
OgSWCm3isRafeFLh4arg6Q,Mexican,3.5,133
8Z82-6yfZ7laspyTf6tYCA,Pizza,4.0,321
Eng53R4ZvchGfwtxjkyiGg,Italian,4.0,48
GNS4Yi2739Zp4NCyUmuZGA,Szechuan,4.0,121
yWo56XpafZMNUoNPdbAD9w,Mexican,2.5,141
457rB-piltkliX81ApG5aw,Korean,4.5,196
dl5LWMiI_EIjqBov6YTXag,Korean,3.5,72
Pea3trq5xAkGDiGGc7LodQ,Szechuan,3.5,164
mU3vlAVzTxgmZUu6F4XixA,American (New),4.0,1050
KpXQz5-LftUyJo4Vu40a5A,Beer Bar,5.0,78
AKkhM3OVjXrjESmsc_KZmA,Chinese,4.0,676
cm4KHmgiL-Wj0AnD3MYmeg,Grocery,4.5,8
17Pvr_u1h4EFVV94TZI6ng,Chinese,4.0,87
RjELMSrh2DuTBJQ4YpzXUA,Chinese,3.5,42
MQn2g69S6G-gDT6ngbK_pQ,Mediterranean,4.5,4
7QMLBYH66rs-e7PyB9fSzA,Indian,4.0,720
60bgJi6Kj-4H8KYiAVUKBg,American (New),4.0,114
Sv1MEZP-mMfp8SmE0hwYEA,Ramen,4.0,1115
iLvnhZw7-7iIsi-e22w8DQ,Bars,4.0,182
AlfkFxfD-cUBGA3Eq3j0Uw,Indian,4.5,233
NGB3HCZYRr3Yu-KhgkqGUw,Japanese,4.0,170
YCKSpB4YwMxSXSauN9WPCA,Mexican,4.0,182
zDPVRMN6PJhD34RYhiySgw,Mexican,4.0,43
aOCqNgTnTbdAbY61ZgRPaA,Sushi Bars,4.0,1008
X-mm564efSYmvM-9P4mn1w,Sushi Bars,4.0,89
2rNuV-nAP1ZtUwTbSNa2PQ,Indian,4.0,234
fbb7fsCGVMVkavIMm7_8KQ,Mexican,4.5,200
Gi25-sSxXppGQk1ZF6fc-g,Pizza,4.0,277
9yoNgUDljC045pi7t8XK-Q,Japanese,4.5,140
SA10MB4CEw0YikMuhOxyYw,Mexican,4.0,419
ljqxEueK7fhAUgHYCbHVOQ,Chinese,3.5,82
2ZVSDvbFK2DNoZb9x7NlfQ,Asian Fusion,4.0,494
I8CNZHuzqia4RO2DUaJKCQ,Japanese,4.5,154
q4tugAP9-ahYjdkbs9gbvg,Szechuan,4.0,73
1GYKkZm14lZZHdvFkAtSXw,Cocktail Bars,4.5,184
lZN6gefeCiZjYeoH7OQ69g,Indian,4.0,206
ubTGhWUUfSmYl_TqwSA9Yw,Barbeque,4.0,111
_D1Ev_zTZs5ijHkleK6C2w,American (New),4.0,1967
64V_ukBEQ5QNNhSkXr-kcA,Noodles,4.0,242
25j_aJ_7cqgKLwZLOCVW1A,Tex-Mex,4.0,63
jl4sx_VhdObAQgRrNb458g,Japanese,4.0,473
sLrHO2ct7qsJERWYXrR1pg,Sushi Bars,4.0,1131
gQBNk1SGV-iNrgZUxEzt7Q,Korean,4.0,74
D03TeOrCvHgeuBe88bn0lw,Indian,4.0,97
xfmXbvTrtmfGxySJQ2TRXQ,Sushi Bars,4.0,103
h_pdXO0TiXjVPJ-tXPvYLg,American (New),4.0,1501
7_keO0r3oVj6hllofDUWfw,American (New),4.0,428
UdO_uBm3sIM5DwaE8XIpbg,American (Traditional),4.0,403
8r7N0_C4JfOpDakJCtQpYA,Donuts,3.5,34
2v9YUyD5pLQKgf1vLaUB0w,Chinese,3.5,71
C-8mGN7lt5rIraO5n-15ug,American (Traditional),4.0,1939
ZYdNJXIpa4PJI4yUFFpSKQ,Italian,4.5,80
_iEl9sCLsvXEFHUWPvgsAg,Mexican,4.0,260
VtgFuz3LXsrGB-SzPSQbDg,Mexican,4.5,226
Rvls-SeFHRprhUND4k2_Fg,Cocktail Bars,4.0,188
cxVqsH6a5ro5PaWssb38kw,Steakhouses,4.0,481
aF3eqysqLQaxiEXHnXlxCA,Mexican,4.0,445
edcwzFKHIDpvS7Rj9gvU6Q,Indian,4.0,190
oEwmCZknUHgHfEBdKA2SZA,Vietnamese,4.5,268
bKrtFOzhGU1j5RuwxaEw_g,American (New),4.0,484
N7_ghbJDwMx_NrG43DlQZA,Italian,4.0,60
DB6c4iRV3rvX5reKRWmB0Q,Indian,4.0,170
0sJXU0aRC6enulVOi8pzYA,Chinese,3.5,23
H-fbrqyst5BUXONfImr_JQ,Sushi Bars,4.0,42
lM8Mlj8WXCNxP68nEmGq3Q,Mexican,3.5,68
nsFD0YGrm2kTdSEO2EEkpw,Italian,3.5,93
voGbnN7oYOSWLOwK69aVHQ,Taiwanese,4.0,87
EhrV3h99iuBDJ83sIoobqQ,Chinese,4.5,22
YMruiRKiR9JaRWbXMeud9w,Italian,5.0,209
3jj2GXEQnDjdj-xM3DwkOA,Mexican,4.0,147
YIsvCSAtTrQy-fPzbFn5Yg,Burgers,4.5,38
7_APaDagf32NM0CBKnDogg,Japanese,4.0,114
dMHhjARaJjHXeZS4zRhwGQ,Korean,4.5,2
6CQxGUaqQgzEef3cvk2vUw,Bars,4.0,797
L8RRAd-JZ0Bd4MER0yyX-g,Japanese,4.0,3757
NIL5qMPl9q0b5Dw0OtJRyw,Pizza,4.0,107
XPWCQZJPRu08MtjceGyOaA,Chinese,4.0,263
-pK1SR3blPDEzYKwXk4L5Q,American (New),4.0,548
aMW2YF4LQdzfaPrgQHP9Bw,Sushi Bars,4.5,135
5Pik34EY1zRXYQGzBV_d8g,Italian,4.0,1444
m5Wf37iYnWc1Rh3S2HmdWg,Chinese,4.0,82
iHC7jRt8Fb7pDtPC98phAQ,Chinese,3.5,78
y3uxJuigY6atehWRpe9uMg,Chinese,3.5,161
1PQ-elmPdTvWDQ4JnFaupA,Mexican,4.0,565
Et1eWDVDOt5_ELdT_U2NLg,American (Traditional),4.0,47
U_M9Z3e0CXgq4BG2qOwlCA,Mexican,4.0,871
q3dJQtwZQrrurNT-1bNKgQ,Italian,4.0,1197
l8mKp7OAX-BCp3MXpoLE-g,Szechuan,4.0,230
_us5qOY9AafKtmBdje6mIg,Chinese,4.0,293
3HZGL6efdZ-UwMTgtiaCdA,Indian,3.5,146
F95agIcsD5g1bykGVTVWZQ,Ramen,4.0,450
qbch1kRF5lUEb8VKhN-IRQ,Mexican,4.5,57
N_Ghvgs7rt7ie1XRx3yuVA,Mexican,3.5,120
zDzMENCBnI-J1b0OZeT4Lw,Korean,4.5,175
X-EDY6yYBTPQuFJEuHeSGA,Chinese,4.0,108
DEbsQ0oo4s1FGfiwhKEGvQ,Italian,4.0,264
M7knZAjYDA7lmHHP309-Wg,Indian,4.5,292
W76XP0WSG1FPJdZzDTylhg,Wine Bars,4.5,112
hSf4dN8617Czf1T2VrJHgQ,Indian,4.5,71
uZP7UFRns0TevGLZbw6xiA,Southern,5.0,2
VtjIXjkFDluasukeUzIAbw,Chinese,4.5,33
xxBg0AnRAofwtcyj8yV6-A,Indian,4.0,12
Lu239ijWdvfAokaA-fHkEQ,Meat Shops,4.0,66
EoT2VurGD5Xg7WRW23JLLw,Tex-Mex,4.5,267
XvEz60Y0NbLxooK9AmRU8g,Italian,4.0,398
TulmRC5V0--dnXYd_GOSvA,Chinese,4.0,186
DfS1Cly8GEk8bef1k7odWA,Japanese,4.0,481
RdeMzblggEEzwtoIvfaLCg,Pizza,3.5,70
_287i8ZeEf0H1LiqPhyvBg,Chinese,4.5,28
B5HgZG4IyGIs-5iQ3TNX_A,Japanese,4.0,146
wMOioy2KAoI2AnpbqwxdOg,Japanese,4.5,282
KvRh-exPg_KegOM_HXeskw,Ice Cream & Frozen Yogurt,4.5,53
nqiXfePqK_T2WTXLFVpfdQ,Chinese,4.0,6
Z6Nq9CTJBjNrLwuMpSu4MQ,Mexican,3.5,64
IDITmPV4olLuRHdnQ9m9BQ,Cooking Classes,5.0,10
Oo7DOQsie2QmL_RGfhhD3Q,Mexican,4.0,48
hAIGEvUXroF7oswXCD6yww,Sushi Bars,4.0,239
quociuPzNEH7JRED9xvK3A,Chinese,3.5,24
eJHhG6tbGfyPHAfw05sg_A,Korean,4.0,118
jzQVnUZigCAL3OO5lunR7w,Chinese,3.5,63
fz-bTrblaJbqk-m8kw0GFw,Japanese,3.5,58
iQtGgTuPT7Zb_AHtLxl5sw,Mexican,4.5,244
UAido61OqOmR4P7zQB-Duw,Italian,4.0,1025
h7As2jB8bhfFxCMCvdssWA,Chinese,4.0,95
jJuJmAWEEHBIjvd6Z56emw,Indian,4.0,55
2E9O-p-lp587aOMnpLepkQ,Korean,4.5,62
jYmNgiyM-flW7UKeZ1Rydg,Chinese,3.5,57
8OPhG3eSJ_rk77tmnoDMTw,Sushi Bars,4.0,55
5C0fTB49U8vUPfPO0Ki88A,Indian,4.0,103
6kRbrLNIZKZ1fcjgsTFobg,Chinese,5.0,61
NDx_kgu6WxU_PvVUyQh5Ug,Korean,3.5,136
rh9kz9B7gxlt3avxS9yQAQ,Japanese,4.0,45
zOeJnMNqzcK-u4ooGIQgKw,Italian,4.0,70
-8oIIpYJAXWg-G3glapMmQ,Bars,4.5,207
6m6CD-tzWV0lsYi89tPTKQ,Mexican,3.5,280
NzIIhPFD1EZHzsRG5Phipg,Indian,4.0,86
lKU_kljhbEQKIPaM1Zbqiw,Italian,4.0,691
5194FXoDTKX-XSfd0389ng,Indian,4.0,169
KXiClWndL6UyPJDt7y50zQ,Italian,4.0,1001
Usk5a7RkgFTolauj8k3pGQ,Sushi Bars,4.0,46
ijvztKL0Atdwl6U_EQx0wQ,Japanese,4.5,55
o98kicIhRgBjoMqQr2SzTQ,Mexican,4.5,77
VdyMicenPeKtKD8LiP2ayw,Italian,4.0,134
MJ3ePnHQO23sqwSdXXDscw,Chinese,4.5,14
HD42q0hY9fPvlRZ0kS4qGQ,Tapas/Small Plates,4.0,1525
585J6l1zaRRMZ8uU-Bc7Kg,American (Traditional),4.5,37
5iziuvhlOhqH4dzvc-iDNA,Italian,4.0,105
QYs-eROiXgFo8Wui9pnTIQ,Ramen,4.5,147
d-yylpQWQ1GJ1nZPC4OzSw,Indian,4.0,134
MFzjTQuaABd8jr531SUPRg,Pizza,4.0,80
iqIYib0QyWivEW8_R0narw,Chinese,4.5,44
b2udDFPOtH2zURsCVcQM9g,Italian,4.0,114
PQ71IUSBSDWbsICF3YlonQ,Asian Fusion,4.0,83
y6jDLwRzU1cTlS3FndcFKA,Japanese,3.0,102
fJ6AA9S7SEq3sim_3Sim3g,American (New),4.0,427
PQiui7g4H8zwvQeUd1-mmw,Korean,4.0,74
lpPCrVVMQ6X8mvId_E_BGw,Indian,4.0,46
baIT89GubjGJV1mpn82Eeg,Chinese,4.5,43
Mopw-koOu2bP9kPIl1v6Sg,Chinese,3.5,195
2GelvJ24tzVriVa9uXQQ-A,American (Traditional),4.0,130
XEEONtVQC_QaqFK2HeWWPA,Indian,4.5,50
6_juRpfIoSmt3_wRVlvKtA,Chinese,4.0,151
-nL5YWtCkno05LN55RBsdA,Japanese,4.0,155
2u_w3rthRzR2uEihW5BC4A,Italian,4.0,2890
ydUqgWsF3F27TbauOyib0w,Chinese,4.0,39
3StNEgKAwpCFR1q0urmJrw,Ramen,4.0,147
X2W9OyDwI5oKK8ZpyUwxRQ,Food Trucks,4.5,14
GgzHODc1EexRRE3EZ9-uuw,Italian,4.5,59
1bQoRL6hTc0i6razz_6mNg,Sushi Bars,4.0,376
vHdLpsJQerIaZqh8UbOThw,Bakeries,4.5,159
giF_C_zJEdggBLG03nQTKQ,Chinese,4.0,45
iFCz-xI7CV98fcaB4Chh3g,Cocktail Bars,4.5,249
xTSCydAPq8EGeOiUzS1LLA,Mexican,4.0,462
E-XODbN62XDQtKpA4q_KPA,Chinese,3.5,82
x1ClWF6HF3X_7TFFnLED_Q,American (Traditional),4.0,229
d40PbnRah7AWH_dclw1h_Q,Izakaya,4.0,393
qKcWprJbhkoEaOiDt490sw,Korean,4.0,107
XiDp4JcHP_y438nUsSFSvg,Italian,4.0,353
U6aOKPmllvEoA9bpRKRteQ,Japanese,4.0,63
LlSehKBi-vx0TE5x2Q4R_w,Korean,4.0,67
gJy0YJF84VkKVg3-80K9MQ,Mexican,4.0,195
f2t1xgVCwBKe6LwUEmfWcg,Italian,4.5,156
LGbgmsRy_a1peMOkxHQylQ,Chinese,3.5,138
hsMSCuhbpw8w22T9alfV5w,Japanese,4.5,111
Z4Jn4F41a-S1V7LCwyJM8Q,Indian,4.0,811
uZ0C261kg1YgvTMTEmIL0Q,Mexican,4.0,175
1aQn5XzAk_lVwxn997fphQ,Bars,4.0,2708
uvhk_f7eFC85IkjesC3S-w,Vietnamese,4.0,85
xHBwztCojKjXCWDjSzjbkw,Sports Bars,3.0,49
eIXfbg4B6WVEQLdp54yQAw,Indian,4.0,93
amm9SJO4Ok_9CWQytasx7g,Chinese,2.5,90
o7mIs3cBwBnae7S0tke2PA,Mexican,4.0,196
_lhAiwV4jtDhcRSCp_SSDQ,Korean,4.0,177
7pQkf1sCiZL42RGsUHDlLQ,Italian,4.0,623
3CrAvu81KXQ31hdiL5_HTw,American (New),5.0,4
IFRCie655hz-GmA71XZxsQ,American (Traditional),3.5,85
qaiL-S2njRJGWoe123BmbQ,Mexican,4.0,258
4a-VV_CbVMZQ8Wh4yfXT3g,Mexican,4.5,208
PoqyugcuH71tkEwXnDcmYQ,Sushi Bars,4.0,2322
CY-jeZow5s7UbnKt419J9w,Mexican,4.0,26
QCCVxVRt1amqv0AaEWSKkg,Italian,4.5,145
qplX-RwFUVWNAnd2Nuj7HA,Japanese,4.0,41
2WEp9uJef3bO9osNNInLCA,Korean,4.0,99
NlMfuqYcthuxoTPn8JtbAw,Wine Bars,4.5,23
SFvPvzI8v1NquX8o6yOcIA,Chinese,4.0,59
EGhS4ex03h4BYWXeHRAKEg,Indian,4.0,76
DPot7UnOuVLVW29HudomQw,Chinese,3.5,197
H9k0E6W-nI93KFs2DtFb7Q,Pizza,4.0,73
7_irk3INOSCw1JojQdCN9g,Italian,4.5,37
YxeuxO6BDefPADHO6axjSw,Indian,4.0,153
TfabYPasZ1oOMN6JLa-yvw,Indian,4.0,714
ZYRul0i1bhOjirHED6Kd0w,American (New),4.0,111
KomhK0JD5cleEW55YTw7MQ,Chinese,4.0,1348
kOqVXdqRzWIEK7XiQWxmJQ,Bars,4.0,225
wduggTOMEcfyRiroVY0-gQ,Chinese,4.0,118
le3t2klC9l-Xc3Uym0i6GA,American (New),4.5,148
qeeeYc6CSmvZkdWerAd_6w,Indian,4.5,242
PA-gzkxNcEROCfvriwqAcA,Indian,4.0,673
1MHEntGVnZ53mhryc7rO8w,Korean,4.5,81
mVWRxze9EEJR95TdUPFqpw,Tapas/Small Plates,4.0,961
MH6M8ORwqXUTTz_KCOvpIA,Vietnamese,4.0,461
W3vh-SwbjqvTWczrDOsKgA,Japanese,4.0,241
4P5W2rMznLgfzLv586V0Vw,Japanese,3.5,145
laL4mWakr3RpswYdyrM-tw,Mexican,4.0,761
0Wlbz0xz8Ml7qDSkEKwi1A,Sushi Bars,3.5,211
8p0z-4uwxkWLRGv89IRyOg,Chinese,4.0,303
G8kut6USosJAXyDflbQ95w,Korean,4.0,83
QoUNF2LaAQoyJbdYqZfbNg,Indian,4.0,82
8xAa50YbwlE53F652Ru_Nw,Chinese,3.5,33
WJmzdY8wZh8bBx5vbE14oQ,American (New),4.0,1297
bYo5h0rgJoVWqbp5bRwNZQ,Irish Pub,5.0,9
4GgfFDDLiucAF_i5PQdkDA,Pizza,4.0,188
uwFa-pTQL1Rv4nULoIraNw,Ramen,4.0,1132
MOj7NVt2lBi7mtxxXtTuEQ,Indian,4.0,178
8vxNQrL_ONPNXZ1VuMTmCw,Italian,4.0,123
hQiNNzF794PeDbH_miu6hA,Indian,3.5,250
0z65fLN_cQS_-3MXUVtnhg,Korean,4.0,444
EIqBoH9xi6iOBEK-5sJB4w,American (New),4.5,104
Z_rf6m-nWURKNMfQJ2p6YA,Ethiopian,4.5,93
MYNuNq44n_yvZ_B2tZABTw,Vegan,4.5,161
Ux1j3_0BLiA9Vu-ijkJJEA,Italian,3.5,67
fBCkn1-ZVVSF93nRMHnfHg,Cocktail Bars,4.0,1003
-pyobEWdpZ6jUp42f3I2xw,Korean,4.0,428
mPkcEqXKmXsM3qTwmcaBHQ,Indian,4.5,17
sRA-y4-47PqcNeKff_5WJw,Chinese,3.5,73
ty16pvpHG0Rxwqf-jVQnrQ,Italian,3.5,132
fDreug-bn98HNxcYBI2PkA,Chinese,3.0,29
M2mLuHbmDzwR8QMGqdLjrQ,American (New),4.0,1132
mKRMTGAOQKPIdhi8LKB4Tg,Chinese,4.5,34
7mgNBuU68N5fzdG3JxN1XQ,Indian,4.0,148
3NmMVlz6sFsBJsVaPtm12A,American (Traditional),5.0,12
IEoxvVxtMpqHDyom4Ad6Tw,Korean,3.5,201
ZlQo_ArRw-nnHcrcnYPbiA,Chinese,4.0,1952
cP81x13w3Mg5PhoaSXdV8A,Chinese,3.0,33
cOyo8GMw0HI3L5vWPT5CHg,Korean,4.0,208
HRh--R5HWAvt35RQfzFufQ,American (New),4.0,834
zKMT-FeuSA9fUUBsbhYwvA,Indian,4.5,38
IZxFPkv-utCT1wQl0ZooKg,Mexican,3.5,107
rUSzb_bcrIBPP1rj4s_VQQ,Ramen,4.0,255
_LgI5387qAmMuS8i6h69cg,American (New),4.0,395
BkUrZCoq1635rpFxw2Iq5A,Italian,3.5,187
tFcmrGLZNEymSnijoTPmqw,Chinese,3.5,218
kibB0UPXfZaMauCBsON3nw,Italian,4.0,138
OCkAz3Ul4CSfVzwT448X6A,Indian,3.5,74
Eq6lo1milA5s6Yy7Qno8XA,Indian,4.0,503
OjX2LacSZd_w2Olmx55HJA,Barbeque,4.0,1246
L1pSvN8CNDzNzaJxxIav1g,Chinese,4.5,179
cDKJXOLYErzbtK74-dp5mA,Beer Bar,4.5,44
OuBPqDbiFNVdR4LQzrYy7Q,Italian,4.0,59
jxl1GXU0MI6DJSbh9907sg,Indian,4.0,131
4K25Zh340UiY1QUdyNdtcQ,Japanese,4.0,71
aRICCZFDSGPqZyogNyijsg,Korean,3.5,11
Rra8oKxoF73HB2kVs8CUGA,Indian,4.0,44
6RcERUi2SdbM9UZfuNYSiA,Mexican,4.5,20
OrMiFzZMMBpBbUMlKATM5A,Mexican,4.5,18
XbTA6Wxs-YeU3mj9mbMejg,Mexican,4.0,120
WEMri1fKIycsGRBejd8HDg,Indian,4.0,123
BtpHrd5MW8LpYe2V_MUnsQ,Italian,3.5,234
Wh4sx1hsxTUvaU5mX4PPLg,Italian,3.5,16
R77LktbheblCNKtWvUPlow,Chinese,4.0,52
0v-fIpTDYS1qxU-S6CTFkQ,Grocery,3.5,11
9TDyIOrSrncpsAUxVqx3aA,American (New),4.0,405
s4TBcqOpkoZnjnyGmO_7_w,Mexican,4.0,1147
25YUCg245RJ8kVlMuDr5SA,Sushi Bars,4.0,85
Nw00vHONgJzgvl59NNzceA,Japanese,4.5,166
ikLXOtQXnpCf0HVNOhpgMQ,American (New),4.5,198
nveeiYhDhj0WJu1JUmx9fw,Mexican,4.0,206
e-fXMT8R3j7BKMTh8xn8aw,Chinese,4.0,260
NqSVQ_DJZpVmCbJHaFcIsQ,Japanese,4.0,1536
JuHa7dMYCZ9xci50M7nG1g,American (Traditional),3.0,9
jGBBu6ppRzyPjerTLr_PaQ,Mexican,4.5,153
MOzJsi8qqVaXd2X1EZtyDA,Mexican,4.0,219
AC0w9wRZK1buF64sO6ozLA,Italian,4.0,114
NOVBEpDIzkDQqInhzXocPA,Indian,4.0,48
z_Y2VIrU5ugc_5oeHv10Rg,Korean,4.5,184
_p_8IFHNczSRoH4mUlSd1w,Chinese,3.0,16
EA6usmUxhmR_w_I42ojf8w,Chinese,4.0,335
vZAJg9dL21A5nUm1DFKOBw,Japanese,3.5,262
5hVLjFRxBHemq8ZAkuthPg,Japanese,4.0,272
lSI-lVR6Hx2j8my6QR8nJg,Mexican,4.0,29
oo1pC-OB5yn6s2AUh1TrYQ,Mexican,4.0,84
VF-0Tv3nLGZ-ZZWWQbS7VA,Japanese,4.0,289
5CFL3iTEZEINyPZTxiOQkg,Mexican,4.0,62
m12h--zYSu9uuRdF09nc9g,American (Traditional),4.5,59
GbtursieiYOn91wXwZ-3Ow,Italian,3.0,52
P6V9RkieLSCfm1yrfEEMlQ,Italian,4.0,454
zVy-XMbS-0zjpOT4muD9jQ,Halal,3.5,5
eEP7Crgq0iIcsBK1xNK9-Q,Indian,4.0,527
7bO6OHn52SJP4Mi3U-XflQ,Breakfast & Brunch,4.5,204
GfqfIMPJ2JPr8lKSDFWrLg,Asian Fusion,4.0,61
IYezm9IJBTbSuBGXLV9o2g,Wine Bars,4.5,52
jIxhHWqxKd5ZWBIEmsFxWQ,Cocktail Bars,3.5,79
9OtFX3YzG5keaUMOWU1imA,Sports Bars,4.0,44
nzQw7cSUCBs3Y486R8wMKA,Sushi Bars,4.0,214
c9wrd7-qXg0xbIrrxUEq7w,Korean,4.5,93
WnEQZDZ86ozJjnAkw8tYRQ,Japanese,4.0,64
jHzWYtX_79aBuM06V268wQ,Mexican,4.0,1062
hTNYfEyEcUV_VqD-YSVkhg,Indian,4.5,58
